query_name,data_name,ngraphs,tokens,n_patterns,n_graphs,n_total_objects,loading_time,indexing_time,materialise_time_collection,materialise_time_final,query_collect_node_match,query_collect_edge_match,generate_nested_morphisms,run_transform
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.43634,1.30367,1.19296,0.807352,0.092746,0.118236,7.25614,4.48929
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.51977,1.20472,1.12225,0.752434,0.081698,0.085257,7.26847,4.27368
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.27927,1.20401,1.19839,0.799564,0.087686,0.089725,7.46514,5.01057
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.61097,1.32949,1.22139,0.76441,0.111932,0.117532,6.84339,4.0958
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.44727,1.23595,1.54301,0.749403,0.078438,0.087381,6.79601,4.11513
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.1145,3.42306,4.34315,1.7034,0.094751,0.258252,25.7247,13.0924
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.1738,3.38529,4.23082,1.68763,0.095923,0.251372,23.7382,13.5247
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,15.7983,3.38677,4.32099,1.7616,0.103546,0.265421,25.3148,13.8748
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.6716,3.52875,4.2357,1.77824,0.094395,0.249584,23.9024,12.8696
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,15.9033,3.55947,4.38267,1.76439,0.101232,0.281891,25.8774,13.7205
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.1441,3.36252,4.19549,1.78093,0.092847,0.250578,23.8878,12.6643
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.2534,3.4595,4.34215,1.76884,0.102878,0.275461,25.2334,14.3299
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.3597,3.75932,4.38252,1.79351,0.104529,0.302973,25.9516,13.6197
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.7568,3.80271,4.39974,1.86787,0.102277,0.314393,26.3872,14.3259
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.299,3.59637,4.39474,1.77722,0.101984,0.278886,25.9042,14.0399
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.7283,3.82411,4.44969,1.79318,0.110894,0.288045,26.2501,13.9333
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.4759,3.6477,4.15978,1.70711,0.102946,0.278334,26.1661,12.6109
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.6592,3.9479,4.42795,1.79039,0.104436,0.279847,26.2813,13.8273
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.442,3.68204,4.41725,1.81882,0.100978,0.272326,26.1636,13.8808
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.6947,3.89912,4.42751,1.79688,0.113574,0.276199,26.3541,13.9776
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.4937,3.64499,4.32778,1.7218,0.102611,0.275928,24.3596,13.1165
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.4866,3.69099,3.98899,1.61737,0.101858,0.277738,26.1217,13.7123
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.0223,3.4235,4.45536,1.79911,0.102048,0.289181,25.8251,13.6833
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.7685,3.7131,4.37921,1.74366,0.102556,0.276882,26.4683,13.8602
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,10,9,224,0,16.3154,3.62944,4.42957,1.77891,0.102751,0.266571,25.7416,14.2469
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,30.9214,6.22597,7.43933,2.7286,0.103949,0.46464,43.1144,22.4088
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.3852,5.51643,7.06974,2.49151,0.101964,0.440613,39.1603,20.93
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.7932,5.98721,7.30195,2.63299,0.107327,0.448819,42.9389,22.5176
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,29.263,6.01751,7.427,2.67067,0.110735,0.457667,42.2439,22.2504
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.396,5.52057,6.98751,2.51601,0.099135,0.421031,38.9825,20.3911
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.8453,5.94214,7.37399,2.63897,0.107897,0.454879,42.387,22.392
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.8925,5.6271,6.99096,2.62223,0.1048,0.438251,39.435,21.2958
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,29.114,5.85632,7.20994,2.54365,0.108277,0.462936,41.0217,21.3627
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,27.9334,5.4761,7.03806,2.53759,0.100572,0.423135,39.1416,20.9957
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.5014,5.86553,7.35589,2.66841,0.106194,0.461579,42.2414,21.9823
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.1614,5.55728,7.20316,2.58854,0.127015,0.431532,39.2372,20.9846
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.3377,5.74961,7.25274,2.58318,0.105709,0.443585,41.4089,21.7633
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,29.888,6.11265,7.31204,2.64094,0.10877,0.469077,42.9514,22.4435
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.2286,5.43435,7.17969,2.54692,0.101211,0.427068,39.3677,21.046
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.2763,5.67911,7.17108,2.52586,0.104158,0.450169,40.8754,21.86
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.2122,5.52729,7.11906,2.55893,0.103198,0.459638,39.3397,21.0219
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.4927,5.63725,7.1371,2.52421,0.106841,0.473611,40.8416,21.733
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,30.1342,6.09578,7.33298,2.73169,0.110056,0.452656,43.2594,22.1201
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,29.6652,6.029,7.3669,2.61514,0.108419,0.478837,42.3495,22.3491
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,15,9,224,0,28.403,5.59561,7.05921,2.49181,0.103748,0.427989,39.4455,20.8989
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.3936,7.37142,8.97986,3.23994,0.116599,0.559463,51.6456,26.532
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,36.9042,7.04163,8.80393,3.12154,0.099076,0.540601,49.191,25.2579
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.7652,7.39206,9.14093,3.25597,0.108721,0.565866,50.18,26.1125
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,39.1207,7.58969,9.0308,3.27156,0.110587,0.574186,52.4187,26.3342
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,39.6607,7.62857,9.0906,3.30235,0.113537,0.618496,53.3242,26.6045
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,39.839,7.59908,8.6548,3.09964,0.11575,0.59255,48.9212,25.0109
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,38.4757,7.66842,9.14903,3.29648,0.110483,0.56866,52.9656,26.6922
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.718,7.05975,8.69376,3.05691,0.109641,0.544723,49.54,25.05
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,38.4465,7.51215,9.49959,3.50366,0.109094,0.604156,52.7065,26.6244
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.5448,7.28547,8.77819,3.10867,0.107543,0.557412,49.2755,25.0763
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,38.1343,7.49447,9.071,3.27709,0.111616,0.567673,52.5911,26.5554
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.4062,7.16232,8.72966,3.29365,0.100699,0.549387,50.7908,24.9853
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.3304,7.3829,8.84261,3.20058,0.103768,0.565119,51.7855,26.1559
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.8772,7.08722,8.7005,3.15413,0.102968,0.541963,49.7914,25.0547
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,225,18,9,224,0,37.1773,7.28539,8.93172,3.22429,0.112356,0.567455,51.513,26.3768
